1235647060.922338, 0.535240, -0.031230, -0.205698
1235647061.002536, 0.581248, -0.040079, -0.195474
1235647061.082969, 0.625624, -0.048148, -0.174365
1235647061.163414, 0.670405, -0.055812, -0.151375
1235647061.243489, 0.715475, -0.062125, -0.126722
1235647061.323920, 0.748836, -0.263572, -0.264703
1235647061.565279, 0.879628, -0.291364, -0.163845
1235647061.651348, 0.926216, -0.297858, -0.127890
1235647061.731776, 0.970429, -0.302896, -0.095505
1235647061.812425, 1.014277, -0.306415, -0.059418
1235647061.892863, 1.058539, -0.307802, -0.024563
1235647061.973448, 1.102346, -0.308187, 0.008316
1235647062.053892, 1.146761, -0.306882, 0.038963
1235647062.134327, 1.241716, -0.438657, 0.025923
1235647062.295555, 1.331675, -0.433144, 0.087206
1235647062.375792, 1.375324, -0.428718, 0.117941
1235647062.456221, 1.420270, -0.422385, 0.144422
1235647062.617089, 1.509674, -0.406572, 0.195406
1235647062.697514, 1.555487, -0.397023, 0.221556
1235647062.777939, 1.599212, -0.386610, 0.246976
1235647062.858381, 1.744942, -0.436752, 0.259833
1235647063.180178, 1.919550, -0.379803, 0.360311
1235647063.341116, 2.004465, -0.344796, 0.411649
1235647063.421499, 2.045860, -0.325750, 0.436621
1235647063.502005, 2.087431, -0.305802, 0.461487
1235647063.582433, 2.221379, -0.331154, 0.478669
1235647063.904290, 2.380066, -0.237802, 0.580478
1235647064.001192, 2.425330, -0.206585, 0.609955
1235647064.081503, 2.462271, -0.180590, 0.632407
1235647064.161936, 2.498737, -0.152925, 0.655245
1235647064.242378, 2.535411, -0.124392, 0.676953
1235647064.322995, 2.570571, -0.095919, 0.698587
1235647064.724671, 2.779945, 0.037396, 0.772123
1235647064.805101, 2.815134, 0.071762, 0.778095
1235647064.885609, 2.850068, 0.106429, 0.780518
1235647064.966053, 2.886283, 0.142429, 0.780568
1235647065.046363, 2.921717, 0.177628, 0.781085
1235647065.207089, 3.025104, 0.207286, 0.780783
1235647065.448376, 3.132862, 0.314508, 0.783095
1235647065.528939, 3.168029, 0.349466, 0.784783
1235647065.609391, 3.203042, 0.385064, 0.785783
1235647065.689822, 3.237588, 0.419041, 0.785413
1235647065.930946, 3.341911, 0.521957, 0.764489
1235647066.145225, 3.458963, 0.574635, 0.702733
