1220287568.127379, $GPGGA,151935.60,4530.36844637,N,00909.97033083,E,4,5,2.4,129.085,M,48.022,M,0.6,0000*7
1220287568.137310, $GPGST,151935.60,0.023,0.043,0.015,304.5,0.037,0.027,0.034*5
1220287568.327377, $GPGGA,151935.80,4530.36844398,N,00909.97033050,E,4,5,2.4,129.096,M,48.022,M,0.8,0000*7
1220287568.337281, $GPGST,151935.80,0.031,0.043,0.015,304.5,0.037,0.027,0.034*5
1220287568.530239, $GPGGA,151936.00,4530.36844203,N,00909.97032696,E,4,5,2.4,129.085,M,48.022,M,1.0,0000*7
1220287568.540205, $GPGST,151936.00,0.033,0.043,0.015,304.6,0.037,0.027,0.034*5
1220287568.728169, $GPGGA,151936.20,4530.36844332,N,00909.97032759,E,4,5,2.4,129.084,M,48.022,M,1.2,0000*7
1220287568.737169, $GPGST,151936.20,0.048,0.043,0.015,304.6,0.037,0.027,0.034*5
1220287568.928055, $GPGGA,151936.40,4530.36844477,N,00909.97032999,E,4,5,2.4,129.089,M,48.022,M,1.4,0000*7
1220287568.937101, $GPGST,151936.40,0.041,0.043,0.015,304.6,0.037,0.027,0.034*5
1220287569.128026, $GPGGA,151936.60,4530.36844280,N,00909.97032522,E,4,5,2.4,129.085,M,48.022,M,0.6,0000*7
1220287569.137991, $GPGST,151936.60,0.024,0.043,0.015,304.6,0.037,0.027,0.034*5
1220287569.327948, $GPGGA,151936.80,4530.36844036,N,00909.97031670,E,4,5,2.4,129.090,M,48.022,M,0.8,0000*7
1220287569.337912, $GPGST,151936.80,0.034,0.043,0.015,304.6,0.037,0.027,0.034*5
1220287569.530875, $GPGGA,151937.00,4530.36843369,N,00909.97029955,E,4,5,2.4,129.089,M,48.022,M,1.0,0000*7
1220287569.540841, $GPGST,151937.00,0.008,0.043,0.015,304.6,0.037,0.027,0.034*5
1220287569.727803, $GPGGA,151937.20,4530.36842968,N,00909.97029023,E,4,5,2.4,129.089,M,48.022,M,1.2,0000*7
1220287569.737775, $GPGST,151937.20,0.014,0.043,0.015,304.6,0.037,0.027,0.034*5
1220287569.927758, $GPGGA,151937.40,4530.36843135,N,00909.97028029,E,4,5,2.4,129.093,M,48.022,M,1.4,0000*7
1220287569.937664, $GPGST,151937.40,0.036,0.043,0.015,304.6,0.037,0.027,0.034*5
1220287570.127693, $GPGGA,151937.60,4530.36842902,N,00909.97027231,E,4,5,2.4,129.090,M,48.022,M,0.6,0000*7
1220287570.137628, $GPGST,151937.60,0.014,0.043,0.015,304.6,0.037,0.027,0.034*5
1220287570.328572, $GPGGA,151937.80,4530.36842123,N,00909.97025441,E,4,5,2.4,129.094,M,48.022,M,0.8,0000*7
1220287570.337545, $GPGST,151937.80,0.024,0.043,0.015,304.6,0.037,0.027,0.034*5
1220287570.531501, $GPGGA,151938.00,4530.36842205,N,00909.97024376,E,4,5,2.4,129.102,M,48.022,M,1.0,0000*7
1220287570.541445, $GPGST,151938.00,0.052,0.041,0.015,303.7,0.035,0.026,0.033*5
1220287570.726359, $GPGGA,151938.20,4530.36841631,N,00909.97022692,E,4,5,2.4,129.095,M,48.022,M,1.2,0000*7
1220287570.738459, $GPGST,151938.20,0.022,0.041,0.015,303.7,0.035,0.026,0.033*5
1220287570.928371, $GPGGA,151938.40,4530.36841338,N,00909.97020423,E,4,5,2.4,129.086,M,48.022,M,1.4,0000*7
1220287570.937415, $GPGST,151938.40,0.021,0.041,0.015,303.7,0.035,0.026,0.033*5
1220287571.128294, $GPGGA,151938.60,4530.36840516,N,00909.97018638,E,4,5,2.4,129.093,M,48.022,M,0.6,0000*7
1220287571.138293, $GPGST,151938.60,0.014,0.041,0.015,303.7,0.035,0.026,0.033*5
1220287571.328211, $GPGGA,151938.80,4530.36840614,N,00909.97017804,E,4,5,2.4,129.075,M,48.022,M,0.8,0000*7
1220287571.338237, $GPGST,151938.80,0.034,0.041,0.015,303.7,0.035,0.026,0.033*5
1220287571.531145, $GPGGA,151939.00,4530.36839914,N,00909.97015751,E,4,5,2.4,129.093,M,48.022,M,1.0,0000*7
1220287571.541118, $GPGST,151939.00,0.006,0.041,0.015,303.7,0.035,0.026,0.033*5
1220287571.728071, $GPGGA,151939.20,4530.36839574,N,00909.97013782,E,4,5,2.4,129.094,M,48.022,M,1.2,0000*7
1220287571.738046, $GPGST,151939.20,0.006,0.041,0.015,303.7,0.035,0.026,0.033*5
1220287571.928378, $GPGGA,151939.40,4530.36838398,N,00909.97009232,E,4,5,2.4,129.084,M,48.022,M,1.4,0000*7
1220287571.937971, $GPGST,151939.40,0.016,0.041,0.015,303.7,0.035,0.026,0.033*5
1220287572.127932, $GPGGA,151939.60,4530.36837863,N,00909.97006946,E,4,5,2.4,129.088,M,48.022,M,0.6,0000*7
1220287572.137933, $GPGST,151939.60,0.026,0.041,0.015,303.7,0.035,0.026,0.033*5
1220287572.328871, $GPGGA,151939.80,4530.36837231,N,00909.97004494,E,4,5,2.4,129.093,M,48.022,M,0.8,0000*7
1220287572.337863, $GPGST,151939.80,0.006,0.041,0.015,303.7,0.035,0.026,0.033*5
1220287572.531831, $GPGGA,151940.00,4530.36836350,N,00909.97001578,E,4,5,2.4,129.085,M,48.022,M,1.0,0000*7
1220287572.541804, $GPGST,151940.00,0.000,0.041,0.015,303.6,0.035,0.026,0.033*5
1220287572.729724, $GPGGA,151940.20,4530.36835889,N,00909.96999143,E,4,5,2.4,129.080,M,48.022,M,1.2,0000*7
1220287572.738681, $GPGST,151940.20,0.001,0.041,0.015,303.6,0.035,0.026,0.033*5
1220287572.928723, $GPGGA,151940.40,4530.36834913,N,00909.96996224,E,4,5,2.4,129.081,M,48.022,M,1.4,0000*7
1220287572.938651, $GPGST,151940.40,0.018,0.041,0.015,303.6,0.035,0.026,0.033*5
1220287573.128569, $GPGGA,151940.60,4530.36834273,N,00909.96993860,E,4,5,2.4,129.084,M,48.022,M,0.6,0000*7
1220287573.138566, $GPGST,151940.60,0.006,0.041,0.015,303.6,0.035,0.026,0.033*5
1220287573.328486, $GPGGA,151940.80,4530.36833966,N,00909.96991576,E,4,5,2.4,129.092,M,48.022,M,0.8,0000*7
1220287573.338502, $GPGST,151940.80,0.013,0.041,0.015,303.6,0.035,0.026,0.033*5
1220287573.531419, $GPGGA,151941.00,4530.36832955,N,00909.96988410,E,4,5,2.4,129.093,M,48.022,M,1.0,0000*7
1220287573.541436, $GPGST,151941.00,0.040,0.041,0.015,303.5,0.035,0.026,0.033*5
1220287573.729362, $GPGGA,151941.20,4530.36832427,N,00909.96985871,E,4,5,2.4,129.082,M,48.022,M,1.2,0000*7
1220287573.738322, $GPGST,151941.20,0.015,0.041,0.015,303.5,0.035,0.026,0.033*5
1220287573.928325, $GPGGA,151941.40,4530.36831365,N,00909.96983047,E,4,5,2.4,129.094,M,48.022,M,1.4,0000*7
1220287573.938282, $GPGST,151941.40,0.024,0.041,0.015,303.5,0.035,0.026,0.033*5
